0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10.732414,-1.5225321,7.2027016,-3.5911684,1.8400004,-2.735077,-3.5182333,1.6603918,1.3308845,4.1995378,2.0037014,0.7270417,-1.0168217,0.38481832,2.5483618,-2.26263
10.593521,-0.4375763,7.342635,1.2791746,0.5000863,0.21984816,1.5448256,-0.2686019,-0.88857126,1.8874264,-3.1366007,0.5793319,-0.5812273,-4.777685,-1.0428725,0.40340388
-12.874193,-2.3099022,11.660649,1.5862453,0.61591864,1.3240175,0.20970726,1.5695686,-1.407053,-1.4349852,0.5356138,3.7222826,-1.1167029,-3.2971926,1.582,1.5051582
-10.555241,-1.3110905,-7.783014,-8.0003805,8.683598,-3.9252467,-0.1277399,5.8786106,-1.5274017,4.6974664,3.0997756,-1.7412071,-0.08650088,2.4505792,0.6387155,1.7369509
5.848341,1.6291183,-8.391605,1.130969,-5.747589,-2.8034708,-1.3818064,-1.1796322,2.0138502,-2.6457458,-0.49764538,4.0967646,1.0056106,0.82672715,0.5165343,-0.012434363
8.823753,-4.0690517,-0.7941723,-8.055559,0.5009494,-0.5865755,-0.442935,1.1266375,0.9685836,-4.5525584,0.9322183,2.8501868,-0.42464876,0.83472824,0.07525766,-1.3209478
-2.31201,13.531205,-3.4113657,0.11727333,1.3783462,-1.7709713,2.8313732,0.7967472,1.8360376,0.53894424,-2.5096288,-4.330373,-2.2733226,0.32222533,-0.57813066,1.6506132
6.404306,4.168647,-10.039277,-0.45889723,-3.4666982,-0.8651624,1.466526,0.6429739,2.27849,1.8308911,5.7861767,2.8018277,-3.1119182,0.3843782,1.6057601,-0.42356527
3.8439627,-1.7902342,4.3210287,-12.06629,-0.9780531,-1.2817917,0.36224747,2.4637594,-2.7024755,-3.677186,-1.3096817,-4.0013533,-0.13413978,0.25720477,-0.9764062,-1.9331678
4.2298617,-11.13201,3.609273,5.2156315,0.24763012,-3.5867558,-2.3065844,-1.8779902,2.398725,4.174668,0.16583896,-0.4198122,1.7108971,-0.3833859,-2.0206084,-2.129068
6.155741,-5.973056,-1.5036478,-2.1049666,-1.3890486,2.7842784,-1.4611416,0.7318144,-1.4612641,-4.4168735,0.4241321,-2.3729167,0.76418054,-1.4777133,-0.6840383,-0.2688229
7.755487,-2.4270022,0.8063302,-7.854493,1.1462152,-0.9792681,-0.9494505,1.4463902,0.34852123,-4.1513577,0.72243,3.751557,-0.61761355,0.73873353,-0.017782688,-1.5090727
-1.9935943,11.402395,-3.2939136,5.9329586,1.6913693,1.6572909,2.6573734,3.3116655,0.3531704,-2.894173,-4.430285,0.42971897,-0.6551293,0.21547198,-0.8401263,0.20048785
-3.9432304,13.017377,-5.3324356,4.632227,-1.3226521,-4.545788,1.2262659,5.1352034,-0.048660755,-0.50610256,-2.902671,0.4831977,-0.8502393,1.2645915,-1.508546,-1.6876181
-10.956125,0.8046044,-1.2340631,1.3408101,0.6566701,2.0080638,-5.4909945,-1.8166842,-1.9909518,0.3805852,-1.3372302,0.036622524,-0.22606122,0.9165373,-1.0995178,-1.1243349
8.629557,-4.2087774,7.262253,-6.590679,-1.8223203,-0.73528624,-5.125854,5.1858807,2.6928415,0.36109972,0.6774075,0.4254775,1.220342,-0.26656008,1.2704921,-0.9042543
10.799175,6.18682,-1.1289778,4.546692,-2.800886,3.5577645,0.83600426,-2.0663147,-0.5102334,1.5652761,-0.92675376,0.6003127,-2.3360589,-1.218962,3.7308846,-1.7593244
-1.974896,16.60234,2.357852,3.7316983,3.0578911,-1.4129715,-0.17329788,-0.081101894,5.0612316,-1.6848125,1.8562295,-0.68333817,0.6445316,-1.6654603,1.5619762,1.0709342
-10.38344,3.5330443,4.7648926,-5.8281145,-2.3337092,-6.564563,3.1663828,-2.050663,-1.3184557,-1.5213761,-1.1527975,-3.7044067,-1.3983514,-0.35588837,-1.800743,-0.9739355
-3.693149,7.7349663,3.885888,-2.3132672,-8.47757,-1.9666586,1.5658388,-1.941968,-4.8671064,0.9997239,1.779279,-3.8725986,-3.7408156,-0.6578157,0.45507848,0.47567344
9.367769,0.022879362,-0.017628193,2.8138435,3.1027868,4.139961,2.6647053,-3.8916984,-3.0930943,-0.33602905,-1.0729251,0.38555336,0.47011244,0.84417224,-1.4811765,2.5405726
13.71542,-1.5461814,-3.5565732,0.5886321,-1.083869,-0.94027424,2.0549746,3.2007704,-2.8674865,-0.42352533,0.39859033,-0.7699666,0.507506,1.4657087,0.83269644,-0.2925905
8.725992,5.027651,-6.9660325,1.0967569,-6.114392,0.6006994,1.3728275,2.5797987,1.5719142,0.740324,4.1754637,1.9295955,-2.4505713,0.421885,1.9748831,-0.26729488
-10.871727,-1.0009103,-14.742315,-1.7279255,2.3134234,-2.6131797,3.001401,0.9068222,-5.7337513,0.8967347,2.608754,-0.3865199,2.8773956,0.4762311,-0.37282515,-0.9208385
-12.7890625,-9.94007,2.606371,2.4871562,1.5377243,-7.269433,2.1348505,-5.1486845,2.5066643,-3.9637575,1.4960973,-1.2627239,0.41235316,-0.5708331,0.75997496,-0.17136562
-8.885885,-6.828446,-9.358792,-7.2435274,-5.833649,10.443119,7.458515,-3.3308573,6.345764,1.394289,-2.8480303,-2.0237746,1.0108532,0.6097715,1.8402274,-1.5336157
5.774085,3.4577765,2.6079588,4.6467686,-3.3947122,-1.4358745,-8.218304,4.633747,0.52335453,-0.2017355,0.75368714,-1.1254172,-0.9615127,-0.7919291,1.6853371,-0.1173017
-8.98908,-13.4230385,9.273707,12.329992,3.2809045,0.4019966,2.5365515,4.6303234,-0.5622747,-0.4927039,-2.6323557,3.2342956,-1.2014353,-2.3526964,2.506631,1.063541
5.47055,2.1895847,2.4630976,-0.8823085,3.6480534,-2.5725389,-7.1964045,-2.8526297,1.6152968,0.15655231,-0.45535445,-0.6228075,-0.2375375,-1.4793445,0.9703889,2.4959373
-13.1061325,3.8688583,3.4852238,-3.4008029,4.468829,3.2852225,0.35235405,-3.2585673,-0.14520693,-4.541222,2.6902015,-4.4629564,1.6403171,-0.66084015,5.678017,-1.802986
-6.9791694,-0.4864173,-14.412926,-2.1620395,4.8616114,-3.1989129,0.7575159,3.0219326,-4.7722874,7.166096,3.2811496,1.8331933,4.574343,-1.8906105,-0.06354332,0.55470526
12.427374,4.0634274,4.7031918,-2.6417217,2.859536,-0.9262495,2.6026382,-2.7274613,3.2222695,3.020846,-1.7740905,3.1482081,-1.7794119,-2.4158244,0.18254781,0.1658082
-12.167089,-2.7407622,-12.844755,-6.918211,1.9241054,-1.618422,1.0314989,0.49203396,-4.568852,1.672831,2.682587,-2.547295,-1.058378,-0.17851591,-0.6150702,-1.7995433
9.436464,-7.3664937,3.6668663,-11.92567,2.623562,0.43281698,0.18534088,5.952282,0.5204563,-0.025337696,2.766246,0.0949707,1.0854758,-0.18720293,-0.23199928,-3.3238525
-9.882597,0.9935814,4.120902,-3.6859183,-6.5583515,-3.4907796,-1.0559063,-1.9204688,-0.86104727,2.5630746,2.2819536,2.9200897,1.7232698,-1.1408905,-2.006083,1.1798365
21.824265,-3.7494035,2.007742,5.3129187,3.9522164,4.3316026,7.491049,1.2308817,-3.4805725,4.024834,2.4136097,-3.590457,-0.21389306,-1.8865223,-0.8654288,1.0739732
